tanggal,keterangan
2027-01-01,Tahun Baru 2027
2027-01-06,Isra Mikraj Nabi Muhammad SAW
2027-01-29,Tahun Baru Imlek 2578
2027-03-08,Hari Suci Nyepi
2027-03-10,Idul Fitri 1448 H
2027-03-11,Idul Fitri 1448 H
2027-03-26,Wafat Yesus Kristus
2027-03-28,Hari Paskah
2027-05-01,Hari Buruh Internasional
2027-05-06,Kenaikan Yesus Kristus
2027-05-17,Idul Adha 1448 H
2027-05-22,Hari Raya Waisak 2571
2027-06-01,Hari Lahir Pancasila
2027-06-06,Tahun Baru Islam 1449 H
2027-08-14,Maulid Nabi Muhammad SAW
2027-08-17,Hari Kemerdekaan RI
2027-12-25,Hari Raya Natal
